state,year,sales_all_sectors,production_all_sources,revenue_all_sectors,price_all_sectors,export_minus_import
Idaho,2002,20699.666,9786.932999999999,1155.501,5.58,0.0
Idaho,2003,21218.685,10422.935,1106.76499,5.22,-2.05149749
Idaho,2004,21808.67401,10863.038719999999,1084.922,4.97,-32.82395984
Idaho,2005,21852.68101,10824.983849999999,1119.626,5.12,-89.09360527999999
Idaho,2006,22761.749,13386.085249999998,1120.55899,4.92,-39.85766552
Idaho,2007,23755.186,11484.09064,1203.612,5.07,-44.25373156999999
Idaho,2008,23901.48999,11970.55293,1360.87722,5.69,34.58238626
Idaho,2009,22753.77899,13100.15185,1480.5388,6.51,44.25373157
Idaho,2010,22797.66801,12024.56411,1491.85259,6.54,23.73875667
Idaho,2011,23271.724,16568.7859,1498.22241,6.44,17.29119313
Idaho,2012,23711.85901,15499.089310000001,1642.0233,6.92,-13.481269219999998
Illinois,2001,136033.54903,179249.285,9390.787,6.9,0.0
Illinois,2002,138447.313,188054.449,9605.334,6.94,125.14134689
Illinois,2003,136247.891,189055.261,9353.328,6.86,160.30987529
Illinois,2004,139253.956,191957.77851,9464.95001,6.8,16.11890885
Illinois,2005,144986.21498,194120.14583000002,10074.182,6.95,17.87733527
Illinois,2006,142447.811,192426.95804,10067.25498,7.07,0.29307107
Illinois,2007,146055.151,200260.68122,12361.23698,8.46,-60.07956934999999
Illinois,2008,144619.91398,199475.17757000003,13389.51379,9.26,-42.20223408
Illinois,2009,136688.46601,193864.35726999998,12406.5462,9.08,-7.6198478199999995
Illinois,2010,144760.67401,201351.87162000002,13216.35197,9.13,-0.58614214
Illinois,2011,142885.567,199499.72804,12820.56852,8.97,-0.29307107
Illinois,2012,143540.004,197565.36267,12052.63977,8.4,-5.27527926
Indiana,2001,97733.96801,122569.67300000001,5177.41001,5.3,0.0
Indiana,2002,101428.54999,125608.14,5419.80301,5.34,0.87921321
Indiana,2003,100467.77899,124888.21800000001,5392.659,5.37,0.0
Indiana,2004,103094.263,127770.39577,5748.81199,5.58,0.0
Indiana,2005,106548.91001,130371.57251,6262.09298,5.88,-10.843629589999999
Indiana,2006,105664.484,130489.78767,6827.44299,6.46,-30.479391279999998
Indiana,2007,109420.14999,130637.99851,7114.71,6.5,22.566472389999987
Indiana,2008,106980.704,129510.29397,7581.7194,7.09,82.35297067
Indiana,2009,99311.813,116670.27987000001,7566.52978,7.62,31.06553342
Indiana,2010,105994.376,125180.73889000001,8127.39779,7.67,-1.4653553500000003
Indiana,2011,105818.139,122131.41396,8473.71901,8.01,3.8099239099999997
Indiana,2012,105173.42503,114695.55835,8720.67776,8.29,-16.118908849999997
Iowa,2001,39443.755,40658.512,2422.423,6.14,-5.27527926
Iowa,2002,40897.54298,42528.38399999999,2458.32901,6.01,0.0
